feature,importance_mean,importance_std
acc_mag_max,0.0,0.0
acc_mag_mean,0.0,0.0
acc_mag_min,0.0,0.0
acc_mag_peak_freq,0.0,0.0
acc_mag_range,0.0,0.0
acc_mag_std,0.0,0.0
acc_x_max,0.0,0.0
acc_x_mean,0.0,0.0
acc_x_min,0.0,0.0
acc_x_peak_freq,0.0,0.0
acc_x_range,0.0,0.0
acc_x_std,0.0,0.0
acc_y_max,0.0,0.0
acc_y_mean,0.0,0.0
acc_y_min,0.0,0.0
acc_y_peak_freq,0.0,0.0
acc_y_range,0.0,0.0
acc_y_std,0.0,0.0
acc_z_max,0.0,0.0
acc_z_mean,0.0,0.0
acc_z_min,0.0,0.0
acc_z_peak_freq,0.0,0.0
acc_z_range,0.0,0.0
acc_z_std,0.0,0.0
bvp_hr_mean,0.0,0.0
bvp_hr_std,0.0,0.0
bvp_hrv_hf,0.0,0.0
bvp_hrv_lf,0.0,0.0
bvp_hrv_lf_hf_ratio,0.0,0.0
bvp_hrv_mean_nn,0.0,0.0
bvp_hrv_rmssd,0.0,0.0
bvp_hrv_sampen,0.0,0.0
bvp_hrv_std_nn,0.0,0.0
bvp_hrv_uhf,0.0,0.0
bvp_hrv_ulf,0.0,0.0
bvp_peak_count,0.0,0.0
eda_max,0.0,0.0
eda_mean,0.0,0.0
eda_min,0.0,0.0
eda_num_scr_peaks,0.0,0.0
eda_range,0.0,0.0
eda_scl_mean,0.0,0.0
eda_scl_std,0.0,0.0
eda_scr_mean,0.0,0.0
eda_scr_std,0.0,0.0
eda_std,0.0,0.0
temp_max,0.0,0.0
temp_mean,0.0,0.0
temp_min,0.0,0.0
temp_range,0.0,0.0
temp_std,0.0,0.0
